text,rating,confidence
"Обедали два раза. Вкусная,домашняя еда. Быстро и вежливо обслужили.
",5,0.75
"Один самых важных моментов-отель новый и не испорчен туристами. Большая территория, персонал старается поддерживать все в чистоте и порядке. Из плюсов: \n- отличный большой и теплый бассейн с детской зоной. \n- благоустроенная территория с огромной детской площадкой \n- огромный выбор блюд разных кухонь, различные перекусы (голодными не останетесь), детское питание (каши, пюре, молоко) в большом количестве\nИз минусов: \n- ужасный сервис по уборке номеров. Уборщицы не меняют полотенца, не заправляют/перестилают постель. \nНа момент написания отзыва проживаю в отеле с семьей уже 8-ой день - уборка номера и замена полотенец была 1 раз!!!! Несмотря на многократные напоминания и просьбы сотрудникам рецепшена, жалобы. Этот момент подпортил впечатление от отеля. \nПросьба администрации отеля поработать над этим моментом\n\nПодводя итог скажу, что отель очень подходит для отдыха всей семьей, хороший ответ Турции, Египту и прочим странам с системой отдыха «все включено»
",4,0.75
"Магазин для декораторов, мастеров создающих цветочные композиции и для тех , кто любит создавать красивый уют в доме.\nВнимательные, профессиональные консультанты с художественным вкусом всегда подскажут, посоветуют и по подбору и по цветовой гамме.\nДостойный выбор на любой вкус и фантазию.
",5,0.75
"Центр ""Белая Сова"" хорошее место для обучения ребенка. Обучение проводится как очно, так и дистанционно. Племянница учится в 9 классе, программу преподают доступно для понимания, о чем говорит её успеваемость. Ей нравится, рекомендую)
",5,0.75
"Маленький выбор и дорого
",2,0.75
"Вкусно , очень быстро , хорошая детская комната!\nИнтерьер хороший , обслуживание быстрое , а вот в зале грязновато. Остались максимально положительные эмоции от посещения.
",5,0.75
"С подругой очень хотели блинов. И проходили мимо этого кафе. Ранее про него не знали. Теперь часто туда ходим. Блины на любой вкус: овощные, рыбные, мясные, сладкие. Наш фаворит с красной рыбой! Видно, что блины не размороженные, а только что приготовленные. Блины всегда свежие и вкусные. При этом ждали заказ не более 10 минут. Заказали по 2 блина. Каждый раз берём что-то новое. Также подруга заказывает с доставкой на работу. Очень быстро перекусили перед фильмом и вкусно! 
",5,0.75
"Уютный парк, много цветов, скамеек, начался ремонт крытой площадки. Надеюсь к следующему лету он закончится. 
",5,0.75
"Нормальная ""заезжаловка"")))) Порадает большое количествот вариантов шаурмы,есть даже постная(для меня сейчас актуально). Ценник средний,для Рязани даже низкий. Помещение отличное,обслуживание  конечно долговато при большом количестве клиентов,но терпимое. Рекомендую!
",5,0.75
"Сергей помог в выходной день очень оперативно и качественно, подход человека к своему делу очень порадовал, перед посещением данного сервиса объехал с десяток других, но никто не взялся за проблему, а здесь решили за 40 минут
",5,0.75
"Однажды зашла в небольшую, но уютную лавку. Продавец приветливый,товар (овощи и фрукты) привлекательные, красивые, свежие. Но по цене показалось дороговато, но не все. Рекомендую, заходите сюда почаще, вам здесь будут очень рады.
",4,0.75
"Покупал авто, пришёл заряженный на отбивание втирания доп услуг, опций, кредитов и прочего. Однако мне подобрали хорошую машину (сам сказал диапазон цен, год, пробег и прочее), все показали, допы не навязывали. Весь процесс от входа в салон до выезда из него занял часов 5, кафешка там средненькая на вид, но сам не пробовал. Покупкой доволен, в салон вернусь для прохождения планового ТО.
",5,0.75
"Случайно нашли это место и остались очень довольны. Вкусные стейки-мясо было сочным и таяло во рту🤤. Взяли запечённые овощи к ним- все очень понравилось! Хорошее пиво и мягкие настойки 👍 быстрое обслуживание-вечер был прекрасен, вернёмся обязательно в следующий раз✅
",5,0.75
"Очень интересное место. Вкусная еда. Давно не ел ничего приличнее в ресторанах. Хотя цены достаточно высокие, но оно того стоит.\nИз минусов, назойливость официантов в оказании ненужных услуг. \nНу и формат (наверно такая мода сейчас) что столики бронируются на определенное количество времени и об этом постоянно напоминают тем или иным способом. \nНу и мой ""фирменный"" отрицательный отзыв - громкость и отвратительность ""музыки"". Будь моя воля, в любых ресторанах давно бы запретил любую музыку. 
",4,0.75
"Очень красивый концертный зал. Замечательная акустика. Смотрела спектакль ""Ханума"" в июле 2023 года - игра актеров, музыкальное оформление- в восторге от спектакля, атмосферно, талантливо! 
",5,0.75
"Много нужных мелочей для дома, дачи, авто пр приемлемым ценам. Хороший ассортимент.
",5,0.75
"Второй раз покупаю очки в данном салоне, консультатны профессионалы, диагностика зрения, помощь при выборе оправы и линз 👍все рассказали, показали! Осталась довольна!очень порадовала цена!
",5,0.75
"Получали сельскую ипотеку, одобрили очень быстро, вся сделка прошла очень оперативно. Радушное обслуживание, наилучшие рекомендации. Все вопросы решены быстро, индивидуальный поход, вежливое отношение работников. Карту получали у Натальи Бучковой, установили личный кабинет совместно, \nВсе очень понравилось!
",5,0.75
"Обычное отделение Банка ВТБ. Приветливый персонал, знающий свою работу. \nА все остальное ужасно. Зона банкоматов это городской общественный туалет. А значит нет никакого контроля и как следствие, возможны проблемы с безопасностью. А это минус службы безопасности.
",2,0.75
"Приехали на поезде. Очень уютно, компактно и чисто. Специально врзвращались на вокзал для фотографий ещё раз😁
",5,0.75
"Если бы можно было поставить отрицательное число в качестве оценки, поставила бы именно его. Претензии у меня по двум пунктам - реализация игры в боулинг и обслуживание в гардеробе . Женщина (работница гардероба) вырывала из наших рук куртки так, будто вор ухватившийся за женскую сумочку на улице. Когда пришло время забирать куртки на рабочем месте ее не оказалось, а когда сотрудник привел ее на рабочее место она недовольно буркнула чтобы мы давали ей номерки, недовольно передала нам куртки , не заметила как ударила мою подругу дверью и ,закрыв гардероб, вновь покинула рабочее место. Перейдем к другому пункту- боулинг. Мало того, что зал однозначно старый и уже слабо пригодный для игры , так еще и клиентоориентированность оставляет желать лучшего . 10-15 мин от общего времени игры мы просто сидели и ждали пока сотрудник эридана починит сломавшуюся конструкцию. А на просьбу продлить нам игру на потерянные 10 мин , нам отказали , сказав «да вы сейчас больше болтаете , чем я там все чинил» . Хамство , незаинтересованность и некомпетенность персонала является неотъемлемой частью обслуживания в данном заведения и как итог - вечер субботы , а помимо нас в боулинге не было ни одного человека, а в самом кафе был занят всего 1 стол . Делайте выводы сами…
",1,0.75
"Добрый и отзывчивый парень всегда подскажет и поможет с выбором.\nБрала колбу для кальяна .очень выручили.
",5,0.75
"Вежливые администраторы. Просторные раздевалки, душевые. Чистый  санузел. Очень приятно, что в самом бассейне нет запаха хлорки.  Недавно посещаю и всё устраивает
",5,0.75
"Здравствуйте! Работаю преподавателем программирования в данной организации. Работа очень нравится, хотела бы отметить плюсы: к каждому занятию уже готовы материалы, это очень сокращает время на подготовку к занятию, к каждому уроку подготовлена яркая презентация, помогающая привлечь внимание детей. Информация на занятиях логично выстроена, дети материал легко и быстро усваивают, отзываются о занятиях только положительно. Удобный график, хорошая зарплата. Могу порекомендовать учи дома и как место работы, и как место для занятия детей.
",5,0.75
"Супер кафе. Обслуживание на высшем уровне. Еда вкусная. Я в восторге, спасибо  всему персоналу вы лучшие
",5,0.75
"Всегда всё на хорошем уровне.
",5,0.75
"Крутой сервис, удобно заказывать через личный кабинет, локации тоже отличные. В кабинетах есть все для работы психолога, а так же чай и кофе. Спасибо за сервис. Именно в этой локации есть минусы, которые даже не знаю, как изменить. Это шум в коридоре например, везде написано, чтобы не разговаривать, но все идут по коридору и разговаривают, я стараюсь брать кабинет дальний от входа, иначе сильно будут мешать посторонние звуки за дверью кабинета. И второе не удобство- это ковры в кабинетах, из-за этого целый квест надо пройти до кабинета, сначала при входе в коридор надо надеть бахилы, пройдя 3-4 метра по коридору, перед кабинетом надо переобуться в свою обувь или взять тапочки и снять свою обувь, на которую 2 минуты назад надевали бахилы. А если такое не  делать приходит штраф 500 рублей. А клиентам возрастным тяжело по 2 раза то бахилы, то снять, то надеть обувь.
",4,0.75
"Классный магазин, девочки-сотрудники- просто супер: все подсказали, подсказывали в возможных моделях, в крое, что важно для новичков.\nРекомендую!!! Интернет-заказ имеет свои плюсы, но тактильные ощущения и приложить ткань к лицу не получится((( \nТак что, если оказались в Москве, без покупок не уйдете:)🥰
",5,0.75
"Хочу выразить благодарность студии Анны Матросовой. Лазерную эпиляцию делала впервые, все очень понравилось, прийду еще на другие зоны) моя мастер Ирина, теплый доброжелательный прием👍 все очень понятно обьяснила и рассказала, хочется возвращаться👍
",5,0.75
"Обслужили быстро. \nЗаказали: плов, овощной салат, шурпу, лаваш, чай.\nПлов: не плов, а рис с морковкой, мясо резиновое.\nВсего 2 салата в меню: овощной и капустный.\nСалат овощной: безвкксные помидоры, огурец, лук.\nШурпа: мясо вкусное, само блюдо пересоленое.\nЛаваш: скорее всего покупной, полежавший.\nЕсли вы желаете просто ""заправиться"", не получив удовольствие, то данное кафе можно посетить.\nНе рекомендую! 
",1,0.75
"Отличный отель по приемлемым ценам. Вкусный ресторан с разнообразным меню, чистые уютные номера и приветливый персонал. Особенно девушка-официантка, к сожалению не запомнила ее имя. Все профессионально 👍
",5,0.75
"Ресторан супер, еда вкусная, персонал обученный, фирменная ладья со штофами - фишка заведения. Крутая подача с выносом ладьи с напитками в маленьких рюмочках в дыму от сухого льда. Для компании , вообще, бомба.
",5,0.75
"Еда вкусная. Ели шашлык из барана, лагман и хычин с мясом. Баран хорош, хычин очень хорош. Лагману ставим четверку, но не плох.\nДоброжелательные девчёнки официантки. Нашу звали Сельби, милая девочка.\nМягкие  диваны, большие столы с подложками, интерьер в восточном стиле, много золота :) 
",5,0.75
"Предлагают номера за 2300 с удобствами на улице в 2023 году. Через 2км за 2т с удобствами в хорошем номере можно отдохнуть
",1,0.75
"Одно враньё. По телефону одно, по факту другое. Если банк не держит свое слово, то и не стоит связываться.
",1,0.75
"Очень все вкусно! Больше всего понравились оливье, солянка и драники. Но и остальные блюда были тоже очень достойные. Спасибо! 
",5,0.75
"Отмечали День рождения дочки в «Дети на кухне». Заказывали заранее торт, праздничное меню для детей и праздничное меню для взрослых. Еще у нас был аниматор, фокусник и фотограф. Мы всем очень довольны. А дети просто в восторге! Из минусов: мы не рассчитали время. Нужно было брать больше. Детям хотелось еще поиграть. На будущее это учтем.
",5,0.75
"Это отличная улица хорошие детские площадки красиво летам там есть фантан и много других плюсов моя любимая улица
",5,0.75
"Хочу выразить большую благодарность врачу Арине Сергеевне, не в первый раз делаю у нее проф.чистку, все быстро, четко. Плюс всегда получаю рекомендации в конце процедуры. В прошлый раз делала КТ и рекомендации по дальнейшему лечению Арина Сергеевна прислала в вацап, очень удобно:)  \n
",5,0.75
"Побывала в Детском мире на январских праздниках, после долгого перерыва. Попала как в другой мир: для детей однозначно праздник. Выбор игрушек, одежды, различных игр просто огромный! Здесь и взрослый человек окунается в атмосферу детства. Можно приходить на целый день, созданы все условия: кафешки, анимационные уголки, музей, кинозал   смотровая площадка. Есть платные развлечения для детей, например -город профессий, очень достойное место.  Удобное расположение магазина: рядом несколько станций метро. В новогодние праздники магазин был мило украшен праздничной атрибутикой, все посетители были счастливы!
",5,0.75
"Что понравилось парковка и более менее вкусная еда. Рыба вкусная овощи тоже. Суп борщ не понравился. Мясо в нем говядиной прям отдает и бульон к нему тоже. Минусы за абсолютное равнодушие работников. Как на ресепшене так и официантов. Не здрасти не до свидания при приеме заказов тоже ощущение «ну что приперся». Туалет ужасный. Лучше потерпеть. Меню в своем телефоне смотри. А если нет? А удобно ли оно? Вобщем не стоит место того чтоб идти туда.
",2,0.75
"Невкусно( вынесли блюдо несоответствуюшее качеству, забегаловка за большие деньги  
",1,0.75
"Прекрасная гостиница, обслу6на высоте, все чисто, оррятно, вкусные завтраки на выбор, готовят перед подачей. Номера небольшие, но удобные и чистые. Расположение удобное, есть небольшая парковка со шлагбаумом
",5,0.75
"Буду обращаться в суд . В прайсе цена около 2 тыс рублей . Далее : врач осматривает и даёт подписывать бумаги с уже увеличенной стоимостью за уже оказанные услуги , которые я не просила . Стоимость  оказалась около 30 тыс рублей! Нарушение закона - не спросили о надобности дополнительного осмотра , не озвучили за него стоимость . По факту : оплачивайте в кассе . Просто незаконное вымогательство . И самое главное : я не получила ответа на свои вопросы по здоровью , никаких рекомендаций и тд . Просто отдали бумажки с анализами . Не рекомендую !!!
",1,0.75
"Номера чистые, обслуживание супер! Территория охраняется, чужим не пройти! Чистота и красота! 👍👍👍
",5,0.75
"Маленький уютный дом­ик для уединения + купель фурако для насл­аждения и расслаблен­ия = отличное спокой­ное от ежедневной су­еты времяпровождение. Домик оборудован идеально: мебель, ТВ, Алиса, бытовая техн­ика, множество посуды и кухонных принадл­ежностей, декор и пр­едметы уюта подобраны идеально, обилие светового оформления, терраса с креслами и столиком. В общем, чувствуется, что к обустройству и созда­нию уюта/комфорта по­дошли с любовью. Еди­нственное, что было сюрпризом – это мест­орасположение домиков практически вдоль дороги, но явно не около дороги: домики огорожены забором и окружены деревьями (весна-осень будет зе­лено вокруг, а мы бы­ли в начале марта – снег вокруг, деревья голые ) и шум с дор­оги слышен минимальн­ый, т.к. дорога мало­проездная. Т.е. неуд­обства это никакого не составляет. Огром­ный, наиогромнейший плюс – это дровяная купель-фурако при ка­ждом домике, мало где можно найти глэмпи­нг с домиком и однов­ременно бочкой при нем. Таким образом, Страна ОЗ – отличное место для индивидуал­ьного отдыха в любое время года. Персонал приветливый и добр­ожелательный, забота о гостях чувствуется как от обслуживающего персонала так и от менеджера на телефоне. К по­сещению рекомендуем! Спасибо за приём и отдых. Желаем процветания и появления ещё нескольких домиков! Страна Оз должна быть волшебнее 😉\n\n
",5,0.75
"Очень атмосферное место, полное погружение в средневековые замки.. очень понравилась экскурсия, познавательно и интересно. На территории есть таверна ( можно вкусно пообедать) есть лавочки с продукцией местных фермеров. Экспозиция интересная, есть музей пыток( место жутковатое) , зато понимаешь в какое хорошее время мы живем. Цена входного билета включает и цену экскурсии, цены доступные. \nЕдинственный минус трудности с логистикой как добраться, такси не приезжает крайне не охотно( должно сильно повезти чтобы приехали) , автобусов нет, было бы очень здорово , если бы организовано трансферы ( за определеную цену) туфли и обратно из ближайших крупных городов. \nПосле посещения остается очень приятное впечатление!
",5,0.75
"Специалисты высокого уровня, очередь есть но продвигается, не стоит колом.
",5,0.75
"Потрясающий чистый парк . Есть прокат лодок. Белочек очень много и добираться легко. Есть туалеты за 10 р. \nОчень много мест ,где можно перекусить ) \nДля детей есть карусель, батут и прокат машинок .\nТак же на территории есть небольшой зоопарк  .
",5,0.75
"Отличное место, частенько здесь бываем! Всегда вкусная еда и суперская атмосфера! Для гостей города- обязательное место для посещения! Из меню очень нравится шашлык из баранины, картошка, запеченная с салом, наваристый суп с приправами и лепешка Кудбари- моя любовь )
",5,0.75
"Отличное место!\nВкусный кофе и какое. Интересные позиции в меню и большой выбор завтраков.
",5,0.75
"Все сроки мимо. Купили в начале марта, привезли в конце мая. Звонил, кормили завтраками. Уже общение было совсем не то , что в магазине.\nПотом наконец то диван приехал. Первое впечатление на троечку. Собрали и по сравнению с тем, что в магазине, вообще не то.\nВ магазине красивый, мягкий приятный . Тут не такой мягкий , не такая Алькантара красивая .\nСейчас уже диван в пользовании около 8 месяцев. Половинки стали разного уровня по высоте , появились щели огромные между половинками. А еще сейчас он стоит 49900, а покупал я его вместо со столом в «подарок» за 72000. В общем грустно.\n
",1,0.75
"плесень в йогуртах была просто вау!! вкус детства. зимой ото льда дороги не особо чистили/посыпали чем-либо, люди вокруг меня постоянно подскальзывались. в целом норм.
",3,0.75
"Всем доброго времени суток!\nНедавно (22.03) посещали с женой данное заведение и были в полном ауте от того, насколько бывает ужасной кухня. Зашли мы через минут 20-30 с открытия.\nЯ брал шаурму и она была как-будто с рыбьим жиром внутри, позже я понял, что это из-за морковки по-корейски. Т.к. она была самой дешёвой пропитанная в море масла, которое тоже похоже не самое хорошее.\nЖена брала удон со свининой. Принесли масляную лапшу, которая была разварена, с парой кусочков мяса и мизерным кол-вом овощей.\nВо-первых, основа блюда, это лапша и соус, лапшу сварить расплюнуть, как ее можно было разварить, когда вы только открылись и людей не так много, чтобы не уследить за ней. Соус - его просто не было, вместо этого макароны тупо залили маслом и все на этом.\nВо-вторых, как можно не соблюсти состав блюда, который даже прописан в меню!?\nОткуда там взялся зелёный лук???\nКогда указан только красный!!!\nА если человек не ест зелёный или у него аллергия и т.д.? И именно поэтому выбрал блюдо, где его нет.\n\nПри оформлении заказа хотел взять кусочек пиццы и даже это не удалось, потому что оказывается не от каждой пиццы можно взять кусочек, хотя в меню указано обратное.\nИ об этом официант не уведомил, когда мы только сели за столик.\n\nЕдинственное, чем мы остались довольны это чай ""Цветущая лилия"", он был очень вкусным и согревающим.\n\nА также у них хороший зал и много мест, но с такой кухней им не нужно столько.\n\nПодытожу: Красивое место, хорошее расположение, но отвратительная кухня.\nНе рекомендуем посещать это заведение!
",1,0.75
"Ооо. Как там вкусненько. Попала, правда, 23 февраля, когда очередь была как при открытии первого Макдональдса. В очереди чуть пять раз в обморок не упала от вкусных запахов. И, кстати, хочу отметить еще один плюсик этого места, не смотря на большую занруженность в праздинчный день, все посетители были очень позитивны и общительны. Ну а шашлык безумно вкусен
",5,0.75
"Удобное расположение. Больший выбор товаров.
",5,0.75
"Всегда весело, работают молодые, но профессиональные ребята, место с хорошей атмосферой, как в старых американских салонах, где все друг друга знают и собираются не только постричься, но и потрещать за жизнь
",5,0.75
"Замечательное место, влюблены в Золотую рыбку с первого посещения 🫶 Всегда чисто, уютно, комфортно. Цены очень приятные и персонал внимательный и добродушный. Приезжайте в Золотую рыбку и она исполнит ваши желания 👍
",5,0.75
"Являюсь постоянным клиентом мастера Елены. Процедура выполняется быстро, качественно, время пролетает незаметно, чувствуешь себя комфортно. А главное результат! 
",5,0.75
"Очень качественный магазин, всё продукты хорошие продавцы приветливые всегда хорошее качество, а пиво тверское самое лучшее, и по цене и по качеству и вкусу
",5,0.75
"Очень вкусные роллы, большой слой рыбки,всегда все свежее,а ещё по будням есть классная акция: ""блюдо дня"" за полцены.
",5,0.75
"Одна из лучших ветклинике в Казани. Нашей 12 летней старушке бульдожке удалили опухоль на спине буквально за 15 минут, она даже испугаться не успела. Все зажило  за 3 недели и спустя пару месяцев уже и шрамик даже не видно было, зарос шёрсткой. Врачи осень внимательные, анализы делают быстро. Есть ветаптека и товары для животных.
",5,0.75
"Необычное конечно место, множество вещей и людей , про комфорт говорить не чего, про цены скорее можно договориться чем сразу отдавать деньги за вещь у которой видны не достатки , ну на то это и рынок !)
",5,0.75
"Прекрасный отель, очень уютный и чистый номер, чистое белье, можно заказать завтрак и кофе. Администраторы всегда были приятные в общении и старались помочь в любом вопросе.\nОчень понравился интерьер не только во всем отеле, но и в номере, очень атмосферно, именно из-за него и бронировали отель. Отдельно оценили зеркало в ванной с подсветкой. Очень удобное расположение ,близко к центру и все под боком. Много уютных кафе поблизости для завтраков и ужинов.\nИз минусов:\n- немного холодно в номере, кондиционер есть, но слабо обогревает.\n- в один из дней просили убрать в номере, но так и не убрали,что было неприятно.\n- "" тумбочки"" из бочек иногда ночью заставляли просыпаться как будто ""лопаясь"", я так понимаю из-за перепада температуры, воздух внутри бочек нагревался и расширялся  металл\n-не было  халатов, хотя на сайте были заявлены халаты,что очень бы пригодилось ,учитывая,что в номере прохладно.\n-тапочки лучше брать с собой, в номере есть ,но не удобные.\n
",5,0.75
